municipality_code,municipality_name,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
1100015,Alta Floresta D'Oeste,Rondônia,fixed,2019,1,13.433286486486486,7.395686486486486,18.78918918918919,185
1100023,Ariquemes,Rondônia,fixed,2019,1,12.36958823529412,6.197803619909503,26.33393665158371,1105
1100031,Cabixi,Rondônia,fixed,2019,1,10.946489795918367,3.1431836734693874,76.75510204081633,49
1100049,Cacoal,Rondônia,fixed,2019,1,23.848325100133515,15.407224966622163,26.53204272363151,1498
1100056,Cerejeiras,Rondônia,fixed,2019,1,6.787088235294116,3.1295,26.88235294117647,34
1100064,Colorado do Oeste,Rondônia,fixed,2019,1,5.869084112149532,3.293616822429907,56.7196261682243,107
1100072,Corumbiara,Rondônia,fixed,2019,1,2.3514782608695652,1.2585217391304349,52.08695652173913,23
1100080,Costa Marques,Rondônia,fixed,2019,1,7.733782608695653,4.567782608695652,28.17391304347826,23
1100098,Espigão D'Oeste,Rondônia,fixed,2019,1,9.818272727272728,4.446454545454545,23.09090909090909,66
1100106,Guajará-Mirim,Rondônia,fixed,2019,1,4.432192708333333,1.7900677083333332,41.755208333333336,192
1100114,Jaru,Rondônia,fixed,2019,1,26.337956043956044,25.781604395604393,66.98351648351648,182
1100122,Ji-Paraná,Rondônia,fixed,2019,1,19.479777719390437,16.28900945874934,21.92958486600105,1903
1100130,Machadinho D'Oeste,Rondônia,fixed,2019,1,7.966214285714286,4.411642857142857,13.142857142857142,14
1100148,Nova Brasilândia D'Oeste,Rondônia,fixed,2019,1,18.072203539823008,4.198300884955752,35.902654867256636,113
1100155,Ouro Preto do Oeste,Rondônia,fixed,2019,1,17.396790849673206,13.649101307189543,20.9281045751634,306
1100189,Pimenta Bueno,Rondônia,fixed,2019,1,25.814306451612907,20.79076209677419,9.076612903225806,248
1100205,Porto Velho,Rondônia,fixed,2019,1,28.875984890656063,6.502983300198807,39.57992047713718,5030
1100254,Presidente Médici,Rondônia,fixed,2019,1,11.710571428571429,5.409994047619048,35.18452380952381,168
1100262,Rio Crespo,Rondônia,fixed,2019,1,2.475,2.362,80.0,1
1100288,Rolim de Moura,Rondônia,fixed,2019,1,16.953099185788304,9.107524056254626,10.836417468541821,1351
1100296,Santa Luzia D'Oeste,Rondônia,fixed,2019,1,12.277973684210526,4.862710526315789,19.18421052631579,38
1100304,Vilhena,Rondônia,fixed,2019,1,16.092395864106358,9.673471196454948,33.0,677
1100320,São Miguel do Guaporé,Rondônia,fixed,2019,1,14.397874999999999,9.880267857142858,18.267857142857142,56
1100338,Nova Mamoré,Rondônia,fixed,2019,1,5.1095,0.7296250000000001,28.333333333333332,24
1100346,Alvorada D'Oeste,Rondônia,fixed,2019,1,14.718446153846156,8.774635897435898,11.656410256410256,195
1100379,Alto Alegre dos Parecis,Rondônia,fixed,2019,1,19.78234188034188,23.50482905982906,10.11111111111111,117
1100403,Alto Paraíso,Rondônia,fixed,2019,1,4.414396226415095,0.7231509433962264,58.509433962264154,53
1100452,Buritis,Rondônia,fixed,2019,1,3.382310924369748,2.3594789915966383,84.23529411764706,119
1100502,Novo Horizonte do Oeste,Rondônia,fixed,2019,1,6.174704545454546,3.2095454545454554,9.181818181818182,44
1100601,Cacaulândia,Rondônia,fixed,2019,1,3.1545714285714284,1.5362571428571428,45.57142857142857,35
1100700,Campo Novo de Rondônia,Rondônia,fixed,2019,1,3.212,0.453,50.0,1
1100809,Candeias do Jamari,Rondônia,fixed,2019,1,3.1927272727272724,0.7897727272727273,45.27272727272727,22
1100908,Castanheiras,Rondônia,fixed,2019,1,1.4769999999999999,1.073,28.5,2
1100924,Chupinguaia,Rondônia,fixed,2019,1,9.814354166666666,7.222354166666666,26.166666666666668,48
1100940,Cujubim,Rondônia,fixed,2019,1,2.329607843137255,1.99,43.11764705882353,51
1101005,Governador Jorge Teixeira,Rondônia,fixed,2019,1,5.206,0.786,41.0,2
1101104,Itapuã do Oeste,Rondônia,fixed,2019,1,8.073071428571428,0.6080714285714286,32.142857142857146,14
1101203,Ministro Andreazza,Rondônia,fixed,2019,1,5.443666666666667,5.820833333333334,40.666666666666664,18
1101302,Mirante da Serra,Rondônia,fixed,2019,1,7.105666666666667,4.7905,19.333333333333332,6
1101401,Monte Negro,Rondônia,fixed,2019,1,0.673,0.665,648.0,2
1101435,Nova União,Rondônia,fixed,2019,1,5.030182481751824,4.7979854014598535,40.99270072992701,274
1101450,Parecis,Rondônia,fixed,2019,1,3.336,0.844,11.0,1
1101468,Pimenteiras do Oeste,Rondônia,fixed,2019,1,1.321,1.004,68.0,1
1101476,Primavera de Rondônia,Rondônia,fixed,2019,1,4.067333333333333,1.601,9.166666666666666,6
1101484,São Felipe D'Oeste,Rondônia,fixed,2019,1,10.926124999999999,9.458428571428572,9.803571428571429,56
1101492,São Francisco do Guaporé,Rondônia,fixed,2019,1,21.764434782608692,8.872391304347826,6.942028985507246,69
1101500,Seringueiras,Rondônia,fixed,2019,1,12.983714285714285,3.9948571428571427,9.857142857142858,7
1101609,Theobroma,Rondônia,fixed,2019,1,3.3441739130434787,4.89486956521739,101.43478260869566,46
1101708,Urupá,Rondônia,fixed,2019,1,11.205941176470589,8.156235294117646,13.411764705882353,17
1101757,Vale do Anari,Rondônia,fixed,2019,1,8.403,4.732,3.0,4
1101807,Vale do Paraíso,Rondônia,fixed,2019,1,6.209130434782609,1.5830434782608698,91.47826086956522,23
1200013,Acrelândia,Acre,fixed,2019,1,4.149478260869565,0.6340869565217392,50.73913043478261,23
1200054,Assis Brasil,Acre,fixed,2019,1,8.96021052631579,0.8209473684210525,36.3421052631579,38
1200104,Brasiléia,Acre,fixed,2019,1,5.508920634920635,4.127063492063493,69.82539682539682,63
1200138,Bujari,Acre,fixed,2019,1,12.028,0.6643333333333333,27.666666666666668,3
1200179,Capixaba,Acre,fixed,2019,1,9.428272727272727,0.836090909090909,33.54545454545455,11
1200203,Cruzeiro do Sul,Acre,fixed,2019,1,8.88090506329114,3.164063291139241,89.43037974683544,158
1200252,Epitaciolândia,Acre,fixed,2019,1,5.65814503816794,2.5216030534351144,51.31297709923664,131
1200302,Feijó,Acre,fixed,2019,1,13.530859375,1.5123437499999997,37.34375,64
1200336,Mâncio Lima,Acre,fixed,2019,1,9.217,0.39,99.0,1
1200344,Manoel Urbano,Acre,fixed,2019,1,7.3744,0.6003999999999999,25.2,5
1200385,Plácido de Castro,Acre,fixed,2019,1,8.790875,0.414125,27.5,8
1200401,Rio Branco,Acre,fixed,2019,1,24.045056681270538,4.859572015334063,38.53778751369113,3652
1200427,Rodrigues Alves,Acre,fixed,2019,1,3.946,0.555,100.0,2
1200435,Santa Rosa do Purus,Acre,fixed,2019,1,0.8307105263157895,0.3975526315789474,57.76315789473684,38
1200450,Senador Guiomard,Acre,fixed,2019,1,10.209456310679613,0.9360970873786408,30.766990291262136,103
1200500,Sena Madureira,Acre,fixed,2019,1,7.366035714285713,0.7305714285714285,46.94642857142857,112
1200609,Tarauacá,Acre,fixed,2019,1,5.011977777777778,1.2702888888888888,31.94814814814815,135
1200708,Xapuri,Acre,fixed,2019,1,7.7007160493827165,0.7048148148148149,53.48148148148148,81
