state_code,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
11,Rondônia,fixed,2021,1,106.91931327249021,62.189135801825294,7.0529335071707955,19175
12,Acre,fixed,2021,1,102.59924756725815,47.221717372638814,15.037492844876931,6988
13,Amazonas,fixed,2021,1,120.1613174540377,47.97201573190599,11.026762857807773,42970
14,Roraima,fixed,2021,1,146.09430889175255,77.06435283505155,6.350128865979381,7760
15,Pará,fixed,2021,1,86.99671105274922,56.12370967441514,16.476661451348534,53688
16,Amapá,fixed,2021,1,123.34358729139923,92.79371341463415,7.072528883183569,3116
17,Tocantins,fixed,2021,1,97.32103548013885,65.02873212495179,11.895333590435788,12965
21,Maranhão,fixed,2021,1,88.54466560509553,56.32310609512298,14.092542656562369,43018
22,Piauí,fixed,2021,1,109.62862741133856,76.96123195181535,19.079647881391626,23742
23,Ceará,fixed,2021,1,96.08259019009246,61.42661269663168,9.592120889769689,137249
24,Rio Grande do Norte,fixed,2021,1,89.11891743863681,45.45359454098767,9.437509860932675,44367
25,Paraíba,fixed,2021,1,79.60806498250354,47.18951098901099,12.191663085517835,32578
26,Pernambuco,fixed,2021,1,85.85990473222981,49.38009155988316,9.725740993184031,128375
27,Alagoas,fixed,2021,1,60.622130783491855,35.94238215379655,15.992866354989522,24812
28,Sergipe,fixed,2021,1,62.297407549008575,34.53168214700701,14.490273248622511,26679
29,Bahia,fixed,2021,1,74.08193021693224,42.87676360025917,12.92110409867537,166688
31,Minas Gerais,fixed,2021,1,98.20424430547537,59.67099934536347,14.282502094023696,245938
32,Espírito Santo,fixed,2021,1,82.1873051161253,39.61351030663691,12.424828498222993,60495
33,Rio de Janeiro,fixed,2021,1,99.09090469050298,46.40810517184659,10.631401610250196,288775
35,São Paulo,fixed,2021,1,105.56324672798566,58.05373905978652,11.077877981121517,1002517
41,Paraná,fixed,2021,1,89.60559486737954,59.90465580336065,10.928832106651853,180025
42,Santa Catarina,fixed,2021,1,81.61365651550094,45.897824640740374,11.327544114001547,133121
43,Rio Grande do Sul,fixed,2021,1,88.31498383471165,44.171964797136035,10.84987789310096,144136
50,Mato Grosso do Sul,fixed,2021,1,80.28730196237652,47.81778061984031,15.095574502639058,36945
51,Mato Grosso,fixed,2021,1,86.7445391146649,51.639962657653946,12.980957876514715,48524
52,Goiás,fixed,2021,1,104.14973009068781,58.03264575749091,13.020018812513912,139269
53,Distrito Federal,fixed,2021,1,119.44156070668451,48.99891675863157,10.872073545640864,101488
11,Rondônia,fixed,2021,2,126.73352906198102,74.92370600524991,6.34622596025071,18667
12,Acre,fixed,2021,2,112.97779997340072,50.30101037371991,12.906237531586648,7519
13,Amazonas,fixed,2021,2,140.9168432163055,56.59863911753177,13.003751609832577,35718
14,Roraima,fixed,2021,2,163.53396540880502,88.1506307277628,5.834830787660977,6678
