municipality_code,municipality_name,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
1100015,Alta Floresta D'Oeste,Rondônia,fixed,2024,1,97.89342158859472,86.0024633401222,18.276985743380855,982
1100023,Ariquemes,Rondônia,fixed,2024,1,189.54031297709923,143.4098564158488,11.985823336968375,2751
1100031,Cabixi,Rondônia,fixed,2024,1,121.15007000000001,77.06622999999998,30.44,100
1100049,Cacoal,Rondônia,fixed,2024,1,201.83413203383597,160.42333725634427,8.486943729312246,2719
1100056,Cerejeiras,Rondônia,fixed,2024,1,142.16606474820145,94.644845323741,20.100719424460433,278
1100064,Colorado do Oeste,Rondônia,fixed,2024,1,185.690585106383,132.30748138297872,6.460106382978723,752
1100072,Corumbiara,Rondônia,fixed,2024,1,124.18926000000005,129.14585333333332,18.19333333333333,150
1100080,Costa Marques,Rondônia,fixed,2024,1,111.65306802721089,86.6764081632653,67.68707482993197,147
1100098,Espigão D'Oeste,Rondônia,fixed,2024,1,127.47074442190669,105.18476470588234,5.955375253549696,493
1100106,Guajará-Mirim,Rondônia,fixed,2024,1,201.80261650902838,137.95862424763544,15.818572656921754,1163
1100114,Jaru,Rondônia,fixed,2024,1,156.99393097083794,113.29038132152085,13.449612403100776,2709
1100122,Ji-Paraná,Rondônia,fixed,2024,1,222.89010461229947,169.83587878787878,6.7269385026737964,8976
1100130,Machadinho D'Oeste,Rondônia,fixed,2024,1,158.09820467836258,128.61169005847955,21.17543859649123,342
1100148,Nova Brasilândia D'Oeste,Rondônia,fixed,2024,1,157.44673424657537,124.03870684931508,13.926027397260274,365
1100155,Ouro Preto do Oeste,Rondônia,fixed,2024,1,157.3495149017121,115.59028725428028,6.852251109701966,1577
1100189,Pimenta Bueno,Rondônia,fixed,2024,1,216.2437187758478,167.48415136476422,5.841191066997519,1209
1100205,Porto Velho,Rondônia,fixed,2024,1,230.09992729389842,152.78352873777362,9.728924080111783,21470
1100254,Presidente Médici,Rondônia,fixed,2024,1,143.063644524237,111.72424236983842,6.4631956912028725,557
1100262,Rio Crespo,Rondônia,fixed,2024,1,102.46940624999999,31.1550625,72.625,32
1100288,Rolim de Moura,Rondônia,fixed,2024,1,191.3771224234853,146.20308557151782,6.651467832604622,1601
1100296,Santa Luzia D'Oeste,Rondônia,fixed,2024,1,74.35993788819876,72.24023602484473,22.19254658385093,161
1100304,Vilhena,Rondônia,fixed,2024,1,175.15894953051645,147.7991330203443,14.501564945226917,2556
1100320,São Miguel do Guaporé,Rondônia,fixed,2024,1,147.60548680351906,137.34716715542527,7.586510263929619,341
1100338,Nova Mamoré,Rondônia,fixed,2024,1,157.4647302533532,116.81785692995528,14.099850968703429,671
1100346,Alvorada D'Oeste,Rondônia,fixed,2024,1,179.8658035714286,132.29718303571428,15.004464285714286,224
1100379,Alto Alegre dos Parecis,Rondônia,fixed,2024,1,76.38791719745223,64.01494745222931,19.29140127388535,628
1100403,Alto Paraíso,Rondônia,fixed,2024,1,24.044241706161138,19.270293838862557,45.94075829383886,422
1100452,Buritis,Rondônia,fixed,2024,1,233.2900909090909,150.72038735177864,39.48616600790514,506
1100502,Novo Horizonte do Oeste,Rondônia,fixed,2024,1,47.00080376344086,35.15944623655914,12.172043010752688,372
1100601,Cacaulândia,Rondônia,fixed,2024,1,36.837207547169804,25.33506289308176,36.0314465408805,159
1100700,Campo Novo de Rondônia,Rondônia,fixed,2024,1,95.96566666666666,72.49352888888889,14.96888888888889,225
1100809,Candeias do Jamari,Rondônia,fixed,2024,1,129.41805714285715,78.83477142857143,68.5,210
1100908,Castanheiras,Rondônia,fixed,2024,1,50.0978,42.123095652173916,42.68695652173913,115
1100924,Chupinguaia,Rondônia,fixed,2024,1,63.085431884057954,49.68903188405798,13.84927536231884,345
1100940,Cujubim,Rondônia,fixed,2024,1,229.2667007874016,151.5481496062992,50.28346456692913,127
