state_code,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
11,Rondônia,fixed,2025,1,241.88248574074976,170.11314839370158,11.057573246234096,41026
12,Acre,fixed,2025,1,248.9498578365255,164.17880338998293,15.292149986512005,22242
13,Amazonas,fixed,2025,1,228.3829672037548,124.46933289785649,29.896743600909662,103335
14,Roraima,fixed,2025,1,180.14728429878053,116.322577151084,38.65184620596206,11808
15,Pará,fixed,2025,1,210.1636878218535,150.77168267805567,17.377026322418875,170691
16,Amapá,fixed,2025,1,230.64008869999077,185.68020068372905,22.641596599833687,10823
17,Tocantins,fixed,2025,1,205.99330878254167,140.45929042874934,18.756122872561228,33726
21,Maranhão,fixed,2025,1,226.54069482318687,161.88787219204457,11.245307681470234,127762
22,Piauí,fixed,2025,1,199.96254756236587,147.36130229010195,12.225372183476395,59648
23,Ceará,fixed,2025,1,191.45814845584965,142.52158602329715,7.593930521170571,252048
24,Rio Grande do Norte,fixed,2025,1,207.56836360339452,139.82817626205846,7.830447160368463,110296
25,Paraíba,fixed,2025,1,177.26984242643533,117.61326215320224,11.576674457494352,102257
26,Pernambuco,fixed,2025,1,186.6069274982733,133.43286302835926,9.314796452188661,292462
27,Alagoas,fixed,2025,1,181.47799401368653,123.9578186345741,11.212625905088366,80517
28,Sergipe,fixed,2025,1,215.00711342319187,135.32643488153965,9.517282706871395,57572
29,Bahia,fixed,2025,1,176.74826766123164,122.87603969277974,10.13053714375627,508430
31,Minas Gerais,fixed,2025,1,229.85630740952172,149.95980140858632,13.063831726206033,581576
32,Espírito Santo,fixed,2025,1,222.7762211215987,139.79076638834144,12.904781661653356,115692
33,Rio de Janeiro,fixed,2025,1,236.55151003160174,136.28100588723746,9.292565234533681,669584
35,São Paulo,fixed,2025,1,251.0510180558768,149.8100891794212,9.747195039765755,1807334
41,Paraná,fixed,2025,1,232.16115360735893,162.98724680112915,9.303059483607711,454848
42,Santa Catarina,fixed,2025,1,249.6000995408359,153.59451375903947,9.3623478423525,283341
